MenuItemID,Name,Price,Category
1,MenuItem1,5.05,Appetizer
2,MenuItem2,36.94,Main Course
3,MenuItem3,13.1,Beverage
4,MenuItem4,28.52,Dessert
5,MenuItem5,37.04,Beverage
6,MenuItem6,12.27,Dessert
7,MenuItem7,38.34,Dessert
8,MenuItem8,17.88,Dessert
9,MenuItem9,5.55,Main Course
10,MenuItem10,9.56,Beverage
11,MenuItem11,14.51,Beverage
12,MenuItem12,26.22,Beverage
13,MenuItem13,23.71,Dessert
14,MenuItem14,16.34,Dessert
15,MenuItem15,43.03,Beverage
16,MenuItem16,20.37,Main Course
17,MenuItem17,30.78,Main Course
18,MenuItem18,27.23,Beverage
19,MenuItem19,38.01,Appetizer
20,MenuItem20,28.6,Main Course
21,MenuItem21,44.69,Beverage
22,MenuItem22,20.84,Beverage
23,MenuItem23,48.18,Beverage
24,MenuItem24,45.16,Appetizer
25,MenuItem25,46.86,Main Course
26,MenuItem26,8.56,Dessert
27,MenuItem27,28.26,Appetizer
28,MenuItem28,6.63,Dessert
29,MenuItem29,13.74,Appetizer
30,MenuItem30,20.46,Dessert
31,MenuItem31,26.49,Main Course
32,MenuItem32,34.42,Appetizer
33,MenuItem33,10.82,Dessert
34,MenuItem34,37.32,Dessert
35,MenuItem35,36.59,Dessert
36,MenuItem36,19.13,Beverage
37,MenuItem37,43.48,Main Course
38,MenuItem38,32.72,Appetizer
39,MenuItem39,40.25,Beverage
40,MenuItem40,41.4,Appetizer
41,MenuItem41,22.72,Dessert
42,MenuItem42,46.62,Appetizer
43,MenuItem43,30.37,Main Course
44,MenuItem44,44.05,Dessert
45,MenuItem45,38.36,Appetizer
46,MenuItem46,22.04,Dessert
47,MenuItem47,7.5,Beverage
48,MenuItem48,44.18,Appetizer
49,MenuItem49,20.27,Dessert
50,MenuItem50,49.65,Beverage
51,MenuItem51,35.51,Main Course
52,MenuItem52,15.54,Beverage
53,MenuItem53,49.89,Beverage
54,MenuItem54,25.86,Main Course
55,MenuItem55,36.92,Dessert
56,MenuItem56,33.48,Main Course
57,MenuItem57,23.18,Main Course
58,MenuItem58,31.27,Main Course
59,MenuItem59,9.46,Dessert
60,MenuItem60,19.2,Appetizer
61,MenuItem61,9.96,Dessert
62,MenuItem62,29.21,Beverage
63,MenuItem63,8.66,Appetizer
64,MenuItem64,43.6,Dessert
65,MenuItem65,32.4,Appetizer
66,MenuItem66,34.51,Main Course
67,MenuItem67,15.6,Dessert
68,MenuItem68,31.51,Appetizer
69,MenuItem69,38.32,Main Course
70,MenuItem70,13.19,Dessert
71,MenuItem71,17.72,Dessert
72,MenuItem72,23.06,Appetizer
73,MenuItem73,34.54,Dessert
74,MenuItem74,33.55,Dessert
75,MenuItem75,16.41,Appetizer
76,MenuItem76,41.07,Dessert
77,MenuItem77,38.84,Beverage
78,MenuItem78,24.75,Appetizer
79,MenuItem79,5.07,Beverage
80,MenuItem80,24.35,Main Course
81,MenuItem81,45.24,Dessert
82,MenuItem82,37.21,Dessert
83,MenuItem83,44.51,Beverage
84,MenuItem84,42.82,Beverage
85,MenuItem85,38.16,Appetizer
86,MenuItem86,46.43,Dessert
87,MenuItem87,49.88,Beverage
88,MenuItem88,37.86,Main Course
89,MenuItem89,25.45,Appetizer
90,MenuItem90,33.72,Beverage
91,MenuItem91,21.05,Main Course
92,MenuItem92,26.78,Main Course
93,MenuItem93,6.55,Beverage
