OrderDetailID,OrderID,MenuItemID,Quantity,Price
1,1914,4703,4,36.85
2,2581,2431,2,43.41
3,2361,3882,2,14.51
4,9098,9026,5,22.15
5,9422,7225,3,48.08
6,2549,5874,5,10.6
7,2696,3176,2,14.73
8,1269,1328,3,40.23
9,8458,6706,2,13.34
10,3552,740,3,42.39
11,2883,1312,3,20.81
12,4436,3501,2,40.55
13,835,6019,3,30.63
14,1129,4691,2,28.34
15,6932,7435,1,46.14
16,5767,7850,3,24.14
17,3784,6955,4,16.67
18,7568,186,4,25.11
19,1509,7667,1,47.45
20,5270,1070,2,31.98
21,9803,3866,3,11.13
22,7191,8779,1,25.78
23,8814,6201,3,40.55
24,1528,561,5,39.37
25,5779,5209,3,16.44
26,2870,3593,1,12.84
27,8079,5484,5,23.57
28,3409,3134,4,47.76
29,5409,9623,5,5.29
30,1843,7317,1,27.01
31,369,2479,2,49.46
32,9516,4200,4,17.85
33,5650,2892,4,33.92
34,9970,5233,3,48.91
35,8205,8705,5,46.65
36,7947,2394,1,47.38
37,2650,7309,3,43.82
38,85,2668,3,37.01
39,2198,1893,4,9.8
40,391,2942,1,11.47
41,4609,3250,5,19.65
42,3139,7608,1,17.06
43,4393,7409,4,29.46
44,8607,233,2,49.41
45,3636,8150,5,21.7
46,3103,9881,1,8.61
47,3534,2750,5,30.19
48,4974,8399,1,36.06
49,8925,2964,3,24.8
50,6755,4884,4,24.05
51,8737,4233,4,47.39
52,5756,7071,1,21.18
53,9176,8271,5,35.13
54,4052,569,1,7.37
55,201,5724,1,42.42
56,260,1315,2,40.57
57,4174,1812,4,38.76
58,6736,2962,5,49.06
59,424,1465,2,29.34
60,948,2160,2,34.96
61,2151,6923,3,30.55
62,14,1491,3,12.62
63,136,6248,4,13.73
64,2320,8369,3,24.6
65,1701,8432,2,18.46
66,9187,3210,5,6.16
67,9066,1858,4,37.29
68,1812,3592,4,46.28
69,5806,6535,5,42.47
70,4660,3026,2,21.53
71,1333,4601,3,8.53
72,794,7488,2,46.67
73,9920,5161,2,25.65
74,6138,4937,4,42.46
75,8497,5013,1,39.44
76,7054,5854,1,37.8
77,1160,6645,5,14.55
78,9135,1507,3,29.93
79,8592,6838,1,7.35
80,666,6413,5,13.94
81,1325,1216,3,28.57
82,4451,9289,5,36.15
83,6129,2283,2,21.94
84,7617,6582,4,25.95
85,9949,9301,3,19.13
86,4373,7613,2,42.48
87,5757,3238,2,30.49
88,8282,4983,1,37.1
89,5829,519,1,49.02
90,8600,8361,4,15.61
91,4855,4825,5,36.1
92,3505,7554,2,47.35
93,157,6253,1,49.87
94,444,2043,3,28.94
95,7678,2152,3,18.37
96,69,1188,1,8.44
97,7185,7266,5,21.16
98,2456,4807,4,22.76
99,8757,6970,2,19.6
100,2490,6915,1,20.94
101,3245,4611,3,29.01
102,1583,4184,5,43.27
103,9223,8551,4,26.01
104,4198,7953,5,43.24
105,559,2585,3,49.97
106,79,486,5,15.63
107,8911,3158,2,22.28
108,7062,5284,5,25.97
109,3157,5820,4,25.14
110,4687,9256,1,19.48
111,6579,5386,2,38.12
112,6954,6947,2,42.09
113,7535,3635,4,46.07
114,2131,8792,5,45.04
115,9173,7390,5,9.41
116,2511,8773,1,21.11
117,3207,5896,5,16.16
118,7371,7290,3,7.87
119,6170,3968,2,32.76
120,4843,2764,4,32.55
121,1654,5000,5,22.82
122,1733,6166,5,31.37
123,7527,5846,1,33.82
124,794,4758,2,44.86
125,5468,8665,1,11.55
126,3466,6682,3,23.14
127,145,2630,3,33.75
128,7232,3501,2,5.41
129,4306,3856,2,19.7
130,4977,8223,1,37.82
131,6438,3273,3,7.32
132,9415,1864,1,49.95
133,7565,9789,1,42.62
134,6426,5946,1,29.67
135,7494,305,3,27.95
136,7499,6927,1,30.82
137,1915,6083,5,37.68
138,9636,8118,1,43.43
139,2034,6585,1,14.07
140,9166,392,3,10.18
141,2297,2717,2,18.72
142,7122,8675,5,8.16
143,2161,3919,4,10.08
144,4664,1794,4,10.99
145,2146,4494,5,32.48
146,2233,7288,5,28.72
147,3848,8506,3,5.65
148,9843,9896,5,19.12
149,2381,1012,3,28.16
150,5292,2674,4,32.17
151,3262,8982,1,44.52
152,5475,5292,2,48.82
153,3015,8395,3,49.86
154,5041,9458,5,38.55
155,2259,6033,2,14.17
156,3316,6288,4,25.35
157,4314,6976,2,6.07
158,7764,7099,1,5.25
159,1095,4079,1,28.5
160,15,5816,5,48.33
161,1557,1486,1,21.32
162,1512,664,4,10.77
163,8541,6449,2,13.74
164,4004,8921,2,44.96
165,2014,9897,2,44.28
166,4614,191,4,24.11
167,9681,4595,2,49.49
168,2319,7050,3,37.3
169,8885,7234,5,10.59
170,6932,4707,4,46.76
171,2577,8850,3,39.5
172,7544,8202,3,33.76
173,1688,2552,5,38.83
174,5106,6180,4,15.71
175,6062,1904,2,17.7
176,7983,406,3,14.17
177,1336,3025,1,5.5
178,4311,1547,2,31.5
179,1246,1697,3,28.5
180,292,6332,1,35.89
181,58,4747,4,20.28
182,507,702,4,20.08
183,1242,6575,5,16.57
184,7545,9735,1,34.53
185,5241,3462,5,15.75
186,2745,2780,2,49.87
187,1111,4085,2,40.83
188,7684,595,1,27.99
